Sample,dn01,dn02,dn03,dn04,dn05,dn06,dn07,dn08,dn09,dn10,dn11,dn12,dn13,dn14,Coop,Lead,O,C,E,A,N
DNA 134,2,3,2,1,2,2,2,2,2,2,1,3,3,2,4.5,2,3,4,2.6,4,4.6
DNA 15,1,5,2,5,2,1,3,4,1,1,4,4,1,2,5,5,4.2,4.2,5,5,1.2
DNA 150,5,2,4,3,4,4,2,4,1,5,2,3,4,4,4.5,4,4,3.4,3.6,4,2.2
DNA 151,4,2,4,4,4,4,4,4,2,5,4,2,5,5,2.5,3.666666667,5,3.2,4.8,4.8,3.6
DNA 157,2,3,4,5,3,1,3,4,3,2,3,3,4,4,4,4.333333333,4.8,3,3.6,4.8,3.4
DNA 158,3,4,3,3,4,4,4,3,3,4,4,3,3,3,4.5,3.666666667,4,3.6,3.4,4.6,3.6
DNA 159,4,2,4,2,5,4,2,4,3,5,3,1,4,4,4.5,3,2.6,3.6,2,3.8,4.4
DNA 16,4,4,4,4,5,4,3,2,3,5,3,2,2,2,3,4,2.8,4.6,3.8,4.4,4.2
DNA 160,4,1,4,1,4,2,2,4,2,4,1,1,5,4,3.5,4.333333333,4.8,4,3.6,4.2,3.8
DNA 161,3,4,2,3,2,4,2,2,2,2,3,4,2,3,3.5,4.333333333,4.8,2.8,2.6,4.6,3.6
DNA 168,2,4,3,4,3,1,3,3,5,2,3,3,2,2,2,3.333333333,4,3,3.4,3,3.6
DNA 169,2,4,1,2,2,5,3,1,2,2,3,4,2,2,2,4.666666667,4.2,4.4,2.8,4.4,3.6
DNA 170,4,2,4,3,4,4,4,4,2,5,3,1,5,4,3,4.666666667,4.8,4.8,3.8,4.8,3
DNA 172,4,2,4,3,3,2,4,4,5,3,3,3,3,2,3,3.333333333,3,1.6,3.6,3.8,4
DNA 178,3,3,3,2,4,3,3,3,5,3,4,2,2,3,3.5,3.666666667,4.2,3.8,2.6,3.6,3.4
DNA 179,2,4,3,5,3,3,5,3,4,3,5,3,3,4,3.5,3.666666667,3.2,4.4,4,3.6,3.8
DNA 182,2,3,3,3,3,3,5,3,4,3,4,2,3,2,3.5,2.333333333,3,2.4,2.2,3.2,3.8
DNA 183,2,4,3,4,3,2,4,3,4,2,4,3,3,3,3,3.666666667,4.6,3.8,3,3.8,3
DNA 189,2,3,3,4,2,1,3,3,4,1,2,3,3,2,3.5,2.666666667,2.4,2.2,3,3.4,3.2
DNA 191,2,4,1,2,2,4,4,1,4,2,3,4,1,1,3,2,4,3.2,3.2,3.4,2.4
DNA 193,3,1,5,5,4,1,5,5,4,5,5,1,5,5,3.5,3.666666667,3.4,4,4,4.6,2.4
DNA 194,3,5,1,1,3,3,1,1,2,2,2,4,1,2,3.5,5,4.4,3.8,4.8,4.2,2.6
DNA 195,3,2,4,4,4,2,4,4,4,4,4,1,4,4,3.5,2.666666667,3.2,4,3.8,3.6,2.8
DNA 197,3,4,2,2,3,4,2,2,4,2,3,4,1,2,2.5,3.666666667,3.6,3.8,3,3.4,3
DNA 199,4,2,5,5,4,3,5,5,3,5,5,1,5,5,2.5,3.666666667,4.6,4.2,4,4.6,2.2
DNA 2,2,2,3,5,2,2,4,4,2,2,3,3,3,1,4,2.666666667,4.6,2.6,3.6,3.6,2.6
DNA 200,2,5,1,4,2,2,2,1,2,1,3,5,2,2,4.5,4,3.6,4.4,3.6,4.2,3
DNA 201,3,5,1,3,2,3,1,1,1,1,2,5,2,2,2.5,4,4.8,3.6,3.2,4.8,2.6
